id,name,normalised_name,density
646,chopped mint,chopped mint,0.147936
647,thyme leaf,thyme leaf,0.147936
648,diced celery,diced celery,0.380408
649,gochujang,gochujang,1.098957
650,short grain rice,short grain rice,0.845351
651,gram flour,gram flour,0.528345
652,oregano,oregano,0.147936
653,sliced mushroom,sliced mushroom,0.317007
654,parmesan,parmesan,0.359274
655,chopped celery,chopped celery,0.507211
656,grated mozzarella,grated mozzarella,0.422676
657,black mustard seed,black mustard seed,0.634014
658,grain mustard,grain mustard,1.014422
659,nigella seed,nigella seed,0.591746
660,orange blossom water,orange blossom water,0.997515
661,mint,mint,0.063401
662,grated tomato,grated tomato,0.760816
663,diced shallot,diced shallot,0.464943
664,grated coconut,grated coconut,0.211338
665,couscous,couscous,0.739682
666,caraway seed,caraway seed,0.591746
667,grated garlic,grated garlic,0.549478
668,marmite,marmite,1.479365
669,bulgur wheat,bulgur wheat,0.845351
670,chopped thyme,chopped thyme,0.147936
671,black olive,black olive,0.528345
672,grated onion,grated onion,0.612880
673,spelt flour,spelt flour,0.549478
674,onion,onion,0.612880
675,olive,olive,0.528345
676,butter bean,butter bean,0.634014
677,ghee,ghee,0.908753
